# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs786200938	1232279	single nucleotide variant	SDF4 and 7 more	,missense variant,2KB upstream variant,	pathogenic				23664117
rs969701761	1232280	single nucleotide variant	SDF4 and 7 more	,missense variant,2KB upstream variant,	pathogenic				
rs2521960362	1232281	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				
rs397514722	1232294	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,synonymous variant,	pathogenic				23664117
rs397514719	1232471	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic				23664117
rs397514720	1232478	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				23664117
rs1638540007	1232513	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				
rs397514718	1232744	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				23664117
rs1360531002	1232754	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic				
rs1314046622	1232823	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				
rs1553151294	1232834	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic				
rs763080896	1232896	single nucleotide variant	SDF4 and 7 more	,missense variant,nonsense (stop gained),2KB upstream variant,synonymous variant,	pathogenic			G=2.66809e-05	
rs397514723	1232897	single nucleotide variant	SDF4 and 7 more	,missense variant,2KB upstream variant,	pathogenic				23664118
rs397514724	1232927	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic				23664118
rs397514717	1232972	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic	T=0.000399361		T=3.87837e-05	23664117
rs374677519	1233073	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic				
rs786200939	1233177	single nucleotide variant	SDF4 and 5 more	,missense variant,2KB upstream variant,	pathogenic				23664117
rs397514721	1233203	single nucleotide variant	SDF4 and 3 more	,missense variant,2KB upstream variant,	pathogenic			A=0.0	23664117
rs747481892	1312290	single nucleotide variant	INTS11 and 7 more	,missense variant,500B downstream variant,	pathogenic			T=0.0	
rs2522884935	1312841	single nucleotide variant	INTS11 and 3 more	,missense variant,2KB upstream variant,	pathogenic				
rs2522975919	1319313	single nucleotide variant	INTS11 and 1 more	,missense variant,intron variant	pathogenic				
rs779574336	1320493	single nucleotide variant	INTS11 and 1 more	,missense variant,5 prime UTR variant,intron variant	pathogenic			T=8.27499e-06	
rs1380311814	1321072	single nucleotide variant	INTS11 and 2 more	,missense variant,5 prime UTR variant,intron variant	pathogenic				
rs779477027	1339363	single nucleotide variant	DVL1 and 5 more	,nonsense (stop gained),500B downstream variant,synonymous variant,	pathogenic			A=5.20075e-05	
rs762573767	1436947	single nucleotide variant	VWA1 and 3 more	,missense variant,nonsense (stop gained),intron variant,synonymous variant	pathogenic				
rs750227698	1437401	single nucleotide variant	VWA1 and 2 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			T=8.39208e-06	
rs1057517687	1512426	single nucleotide variant	ATAD3A and 1 more	,missense variant,5 prime UTR variant,,	pathogenic				27640307
rs1570319915	1516036	single nucleotide variant	ATAD3A and 1 more	,missense variant,5 prime UTR variant	pathogenic				
rs760826883	1518966	single nucleotide variant	ATAD3A and 3 more	,missense variant,nonsense (stop gained)	pathogenic			A=8.27582e-06	
rs1308954605	1518987	single nucleotide variant	ATAD3A and 1 more	,nonsense (stop gained)	pathogenic				
rs374071750	1520188	single nucleotide variant	ATAD3A and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic				
rs1570345942	1525242	single nucleotide variant	ATAD3A and 1 more	,missense variant	pathogenic				
rs1057517686	1529299	single nucleotide variant	ATAD3A and 1 more	,missense variant,3 prime UTR variant,	pathogenic				27640307
rs606231455	1535370	single nucleotide variant	TMEM240 and 2 more	,missense variant,synonymous variant	pathogenic				25070513
rs606231452	1535392	single nucleotide variant	TMEM240 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				25070513
rs606231454	1535723	single nucleotide variant	TMEM240 and 2 more	,missense variant	pathogenic			A=4.81093e-05	25070513
rs1057518011	1535766	single nucleotide variant	TMEM240 and 2 more	,missense variant	pathogenic				
rs869312826	1787378	single nucleotide variant	GNB1 and 1 more	,missense variant	pathogenic				27108799
rs2100451989	1787438	single nucleotide variant	GNB1 and 1 more	splice acceptor variant	pathogenic				
rs2522181364	1789052	single nucleotide variant	GNB1 and 1 more	splice donor variant	pathogenic				
rs1002519501	1790454	single nucleotide variant	GNB1 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs1553194155	1804461	single nucleotide variant	GNB1 and 1 more	,missense variant	pathogenic				
rs1553194162	1804496	single nucleotide variant	GNB1 and 1 more	,missense variant	pathogenic				
rs1570640673	1804497	single nucleotide variant	GNB1 and 1 more	,missense variant	pathogenic				
rs1646670079	1804502	single nucleotide variant	GNB1 and 2 more	,missense variant	pathogenic				
rs1646670170	1804506	single nucleotide variant	GNB1 and 1 more	,missense variant	pathogenic				
rs1313820360	1804508	single nucleotide variant	GNB1 and 2 more	,missense variant	pathogenic				
rs869312825	1804548	single nucleotide variant	GNB1 and 1 more	,,missense variant	pathogenic				27108799
rs1646670990	1804562	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				
rs869312824	1804565	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				27108799
rs2522751007	1804568	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				
rs1557889974	1804575	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				
rs2100699964	1804582	single nucleotide variant	GNB1 and 1 more	splice acceptor variant	pathogenic				
rs752746786	1806503	single nucleotide variant	GNB1 and 3 more	,missense variant,5 prime UTR variant	pathogenic			G=8.28322e-06	25356970,25485910,27108799
rs869312823	1806509	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				27108799
rs1135401746	1806512	single nucleotide variant	GNB1 and 3 more	,missense variant,5 prime UTR variant	pathogenic				25741868,27759915
rs758432471	1806513	single nucleotide variant	GNB1 and 3 more	,missense variant,5 prime UTR variant	pathogenic			T=8.27965e-06	27108799
rs869312822	1806514	single nucleotide variant	GNB1 and 2 more	,missense variant,5 prime UTR variant	pathogenic				27108799
rs869312821	1806515	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				25485910,27108799
rs1646697327	1806516	single nucleotide variant	GNB1 and 1 more	,missense variant,5 prime UTR variant	pathogenic				
rs2100858599	1815796	single nucleotide variant	GNB1 and 1 more	,missense variant,intron variant	pathogenic				
rs755467514	1923833	single nucleotide variant	CFAP74 and 1 more	,missense variant	pathogenic			G=8.32196e-05	
rs559543526	1927024	single nucleotide variant	CFAP74 and 3 more	,missense variant	pathogenic	T=0.000399361			
rs570149409	1970722	single nucleotide variant	CFAP74 and 1 more	,missense variant	pathogenic	T=0.000199681		T=6.87462e-05	
rs533425606	1974047	single nucleotide variant	CFAP74 and 3 more	,missense variant,synonymous variant	pathogenic	A=0.000199681		A=0.000129275	
rs1659014112	2029197	single nucleotide variant	GABRD and 2 more	,missense variant,synonymous variant	pathogenic				
rs1060502671	2228825	single nucleotide variant	SKI and 1 more	,missense variant,	pathogenic				
rs869312902	2228828	single nucleotide variant	SKI and 1 more	,missense variant,	pathogenic				23023332
rs2527575471	2228848	single nucleotide variant	SKI and 3 more	,missense variant,	pathogenic				
rs1569656981	2228857	single nucleotide variant	SKI and 2 more	,missense variant,	pathogenic				
rs387907304	2228860	single nucleotide variant	SKI and 2 more	,missense variant,synonymous variant,	pathogenic				23023332,23103230,24736733
rs387907306	2228866	single nucleotide variant	SKI and 3 more	,missense variant,	pathogenic				23023332,23103230,24736733
rs387907305	2228867	single nucleotide variant	SKI and 2 more	,missense variant,	pathogenic				23023332,23103230,24736733
rs397514590	2228869	single nucleotide variant	SKI and 2 more	,missense variant,	pathogenic				23023332,23103230,24736733
rs1638569809	2229031	single nucleotide variant	SKI and 1 more	,missense variant,	pathogenic				
rs869312901	2229115	single nucleotide variant	SKI and 2 more	,missense variant,	pathogenic				23023332
rs863223722	2229305	single nucleotide variant	SKI and 2 more	,missense variant,	pathogenic				
rs724160001	2405815	single nucleotide variant	PEX10 and 7 more	,missense variant,nc transcript variant,500B downstream variant,,	pathogenic				20695019
rs1553231739	2406483	single nucleotide variant	PEX10 and 2 more	splice donor variant,,	pathogenic				
rs1643006514	2406497	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,,	pathogenic				
rs61752096	2406515	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,,	pathogenic			T=2.53186e-05	17041890
rs61752095	2406526	single nucleotide variant	PEX10 and 1 more	,missense variant,nc transcript variant,,	pathogenic				9683594
rs62641225	2406561	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,,	pathogenic			T=8.42744e-06	15542397
rs724160000	2406566	single nucleotide variant	PEX10 and 1 more	,missense variant,nc transcript variant,,	pathogenic				19127411
rs1414973726	2406569	single nucleotide variant	PEX10 and 2 more	,missense variant,nc transcript variant,,	pathogenic				
rs869312935	2406719	single nucleotide variant	PEX10 and 2 more	splice donor variant,,	pathogenic				25356970
rs2100422532	2406749	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic				
rs571178917	2406750	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic	T=0.000199681		T=1.08999e-05	
rs61752092	2406766	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic				15542397,20695019
rs2100422652	2406769	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic				
rs1295555837	2406793	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,,	pathogenic				
rs138489241	2406874	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant,,	pathogenic			T=0.000459004	
rs369643163	2406898	single nucleotide variant	PEX10 and 3 more	,missense variant,nonsense (stop gained),intron variant,,	pathogenic			C=1.30733e-05	
rs267608183	2408451	single nucleotide variant	PEX10 and 1 more	splice donor variant,intron variant	pathogenic			T=8.4956e-06	9683594
rs749637005	2408510	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic			T=8.48033e-06	
rs61750434	2408679	single nucleotide variant	PEX10 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				9683594
rs369965266	2408700	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				10862081,21031596,25525159
rs531987102	2408833	single nucleotide variant	PEX10 and 2 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant,synonymous variant	pathogenic	A=0.000199681		A=4.9916e-05	
rs1291325133	2408841	single nucleotide variant	PEX10 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs2522280663	2408854	single nucleotide variant	PEX10 and 2 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant,synonymous variant	pathogenic				
rs2522292124	2410430	single nucleotide variant	PEX10 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs61750432	2412451	single nucleotide variant	PEX10 and 3 more	,missense variant,intron variant	pathogenic				
rs1393899190	2412500	single nucleotide variant	PEX10 and 2 more	,missense variant,intron variant	pathogenic				
rs724160002	2412501	single nucleotide variant	PEX10 and 3 more	,missense variant,intron variant	pathogenic				20695019
rs886041314	2412502	single nucleotide variant	PEX10 and 3 more	,missense variant,intron variant	pathogenic				
rs575200084	2520467	single nucleotide variant	PANK4 and 1 more	intron variant	pathogenic	T=0.000199681			
rs1643176372	3385247	single nucleotide variant	PRDM16 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs397514744	3402986	single nucleotide variant	PRDM16 and 1 more	,missense variant	pathogenic			T=2.54833e-05	23768516
rs2100662912	3411824	single nucleotide variant	PRDM16 and 1 more	,nonsense (stop gained)	pathogenic				
rs397514742	3412301	single nucleotide variant	PRDM16 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				23768516
rs202115331	3414616	single nucleotide variant	PRDM16 and 1 more	,missense variant	pathogenic				23768516
rs2124478772	3722204	single nucleotide variant	TP73 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2124524068	3728137	single nucleotide variant	TP73 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2124533497	3729449	single nucleotide variant	TP73 and 2 more	splice donor variant	pathogenic				
rs869025278	3816372	single nucleotide variant	CEP104 and 1 more	splice acceptor variant,	pathogenic				26477546
rs750473230	3829955	single nucleotide variant	CEP104 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			T=8.23669e-06	
rs144744629	3837408	single nucleotide variant	CEP104 and 1 more	,nonsense (stop gained),intron variant	pathogenic			A=9.9054e-05	
rs372048855	3839096	single nucleotide variant	CEP104 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			C=2.47093e-05	
rs869025276	3839606	single nucleotide variant	CEP104 and 1 more	splice donor variant	pathogenic				26477546
rs759675006	3839700	single nucleotide variant	CEP104 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=8.23791e-06	
rs374574638	3844977	single nucleotide variant	CEP104 and 1 more	,nonsense (stop gained)	pathogenic			A=2.47288e-05	26477546
rs757772764	3848732	single nucleotide variant	CEP104 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=8.24212e-06	
rs775612958	5865152	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic			A=8.44381e-06	
rs1257152837	5865218	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs756111113	5866372	single nucleotide variant	NPHP4 and 3 more	splice donor variant,	pathogenic			A=1.63511e-05	
rs2100466824	5867754	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,,	pathogenic				
rs1414888414	5867794	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,,	pathogenic				
rs375836844	5867848	single nucleotide variant	NPHP4 and 2 more	,missense variant,nc transcript variant,,	pathogenic			G=6.64927e-05	
rs758275952	5867887	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic			A=8.35073e-06	
rs2100471616	5867898	single nucleotide variant	NPHP4 and 1 more	splice acceptor variant,	pathogenic				
rs763668545	5873285	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic			T=8.28624e-06	
rs1328836511	5874488	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs1384212298	5874506	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,intron variant,	pathogenic				
rs28940891	5874946	single nucleotide variant	NPHP4 and 1 more	,missense variant,nc transcript variant,,	pathogenic				12244321
rs569364202	5874988	single nucleotide variant	NPHP4 and 1 more	,missense variant,nc transcript variant,,	pathogenic	A=0.00119808		A=0.000491486	
rs2523226313	5877137	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic				
rs2100678099	5877284	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic				
rs374141736	5880113	single nucleotide variant	NPHP4 and 3 more	splice donor variant,	pathogenic				
rs2100733826	5880114	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic				
rs137852919	5887394	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,intron variant	pathogenic				12244321
rs137852918	5887403	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,3 prime UTR variant,intron variant	pathogenic				12244321
rs137852922	5887436	single nucleotide variant	NPHP4 and 1 more	,missense variant,nonsense (stop gained),nc transcript variant,intron variant	pathogenic				6837691,11920287,12205563
rs757412845	5890867	single nucleotide variant	NPHP4 and 1 more	splice donor variant,intron variant	pathogenic			T=1.07324e-05	
rs373962831	5890912	single nucleotide variant	NPHP4 and 1 more	,missense variant,nc transcript variant,intron variant	pathogenic			T=2.11461e-05	12205563,15776426,16339905,17558407,21546380,21866095
rs2523692876	5891029	single nucleotide variant	NPHP4 and 1 more	splice acceptor variant,intron variant	pathogenic				
rs137852920	5904716	single nucleotide variant	NPHP4 and 2 more	,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic			A=1.65656e-05	12244321,25558065
rs547495754	5904731	single nucleotide variant	NPHP4 and 1 more	,missense variant,nc transcript variant	pathogenic	A=0.00119808		A=0.000637671	
rs1025515771	5904749	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs137852923	5904788	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic			A=8.28322e-06	1248184,12205563
rs1271993311	5904806	single nucleotide variant	NPHP4 and 2 more	splice acceptor variant	pathogenic				
rs2101131514	5905311	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs771318550	5905443	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic			A=8.33611e-06	
rs113413307	5905690	single nucleotide variant	NPHP4 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic	C=0.00559105			25741868
rs778043242	5909193	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,intron variant	pathogenic			A=0.000148343	15776426,21866095
rs1210874691	5927733	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs2522512934	5927754	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs1237376396	5933221	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs1430741326	5947148	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant	pathogenic				
rs1648391557	5952717	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant,intron variant	pathogenic				
rs780268322	5952825	single nucleotide variant	NPHP4 and 1 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant,intron variant	pathogenic			A=4.13497e-05	
rs1650418400	5961950	single nucleotide variant	NPHP4 and 1 more	splice acceptor variant,,	pathogenic				
rs1419875412	5967298	single nucleotide variant	NPHP4 and 2 more	splice donor variant,	pathogenic				
rs997408852	5967299	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,5 prime UTR variant,	pathogenic				
rs753774833	5978374	single nucleotide variant	NPHP4 and 2 more	,nonsense (stop gained),nc transcript variant,5 prime UTR variant,intron variant,synonymous variant,,	pathogenic				
rs370210428	5986157	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,5 prime UTR variant,intron variant,	pathogenic			A=4.19576e-05	
rs780905861	5986278	single nucleotide variant	NPHP4 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,5 prime UTR variant,intron variant,	pathogenic			T=4.21358e-05	
rs753070352	6106422	single nucleotide variant	CHD5 and 1 more	,nonsense (stop gained)	pathogenic			A=0.0	
rs2100843382	6125765	single nucleotide variant	CHD5 and 2 more	splice donor variant	pathogenic				
rs2100846484	6129038	single nucleotide variant	CHD5 and 2 more	,missense variant	pathogenic				
rs2100847449	6130220	single nucleotide variant	CHD5 and 2 more	,missense variant	pathogenic				
rs1474624774	6135365	single nucleotide variant	CHD5 and 2 more	,missense variant	pathogenic				
rs754586094	6151086	single nucleotide variant	CHD5 and 3 more	,missense variant,nonsense (stop gained)	pathogenic			T=8.26433e-06	
rs1667056923	6154827	single nucleotide variant	CHD5 and 1 more	,missense variant	pathogenic				
rs1557690051	6425219	single nucleotide variant	ESPN and 1 more	,nonsense (stop gained),	pathogenic				
rs1643944047	6451602	single nucleotide variant	ESPN and 1 more	splice acceptor variant,	pathogenic				
rs121908134	6451926	single nucleotide variant	ESPN and 2 more	,missense variant,	pathogenic			C=1.06013e-05	15930085
rs121908135	6452001	single nucleotide variant	ESPN and 3 more	,missense variant,	pathogenic				15930085
rs121908136	6452092	single nucleotide variant	ESPN and 2 more	,missense variant,	pathogenic				15930085
rs1046987961	6460077	single nucleotide variant	ESPN and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs778854412	6468048	single nucleotide variant	TNFRSF25 and 3 more	,nonsense (stop gained),intron variant,2KB upstream variant,	pathogenic			A=0.0	
rs770593694	6468294	single nucleotide variant	PLEKHG5 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			A=1.02145e-05	
rs202191898	6468378	single nucleotide variant	PLEKHG5 and 2 more	,missense variant	pathogenic	T=0.00199681			23844677
rs1199089543	6468567	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2523127742	6469049	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1349734606	6469133	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs184242303	6469142	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic	T=0.000399361		T=5.78694e-05	
rs1644488970	6469145	single nucleotide variant	PLEKHG5 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs772217003	6469238	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=1.64908e-05	
rs397515456	6469396	single nucleotide variant	PLEKHG5 and 2 more	,missense variant	pathogenic			A=4.11963e-05	23844677
rs63750315	6469444	single nucleotide variant	PLEKHG5 and 1 more	,missense variant	pathogenic				16728649,17564964
rs760122001	6470298	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs775517465	6470542	single nucleotide variant	PLEKHG5 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			A=6.02161e-05	
rs1435710212	6470860	single nucleotide variant	PLEKHG5 and 1 more	,nonsense (stop gained)	pathogenic				
rs750665866	6471055	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			T=1.64096e-05	
rs1443592761	6471093	single nucleotide variant	PLEKHG5 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2523172908	6471761	single nucleotide variant	PLEKHG5 and 1 more	,nonsense (stop gained)	pathogenic				
rs1553174566	6472624	single nucleotide variant	PLEKHG5 and 1 more	splice acceptor variant	pathogenic				
rs376900021	6473061	single nucleotide variant	PLEKHG5 and 3 more	,nonsense (stop gained),synonymous variant	pathogenic			A=7.45268e-05	
rs972569803	6474527	single nucleotide variant	PLEKHG5 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs2523229122	6475485	single nucleotide variant	PLEKHG5 and 1 more	,nonsense (stop gained)	pathogenic				
rs1666321359	7249611	single nucleotide variant	CAMTA1 and 1 more	,missense variant,,	pathogenic				
rs2523535823	7467892	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),intron variant,,	pathogenic				
rs2095751954	7640399	single nucleotide variant	CAMTA1 and 1 more	splice acceptor variant,,	pathogenic				
rs757970256	7640465	single nucleotide variant	CAMTA1 and 2 more	,nonsense (stop gained),synonymous variant,,	pathogenic			T=2.47337e-05	
rs1553231167	7640502	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),,	pathogenic				
rs1553238271	7661827	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),,	pathogenic				
rs2523730625	7664375	single nucleotide variant	CAMTA1 and 2 more	,missense variant,nonsense (stop gained),,	pathogenic				
rs1576691273	7665186	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),,	pathogenic				
rs1395631005	7732477	single nucleotide variant	CAMTA1 and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic				
rs2096785311	7738231	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),intron variant,	pathogenic				
rs886041635	7744883	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),	pathogenic				
rs745738301	7746088	single nucleotide variant	CAMTA1 and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic			T=8.2905e-06	
rs1553280067	7751289	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),	pathogenic				
rs2096895734	7751322	single nucleotide variant	CAMTA1 and 1 more	,nonsense (stop gained),	pathogenic				
rs150812083	7809893	single nucleotide variant	PER3 and 5 more	,missense variant,nc transcript variant	pathogenic	G=0.00339457		G=0.00588594	25741868,26903630
rs139315125	7809900	single nucleotide variant	PER3 and 3 more	,missense variant,nc transcript variant	pathogenic	G=0.00339457		G=0.00587948	25741868,26903630
rs771142611	7937703	single nucleotide variant	TNFRSF9 and 1 more	,nonsense (stop gained)	pathogenic			A=8.24049e-06	
rs2527270851	7938214	single nucleotide variant	TNFRSF9 and 1 more	,missense variant	pathogenic				
